timetableStop_id;station;eva;start;plannedArrivalPath;trainCategory;trainNumber;arrivingLine;plannedArrival;changedArrivalTime;cancellationTime;eventStatus;arrival_delay;operator;Verbindung;week_number
428488854693535724-2411202201-35;Trier Hbf;8000134;Homburg(Saar)Hbf;Homburg(Saar)Hbf|Limbach(b Homburg,Saar)|Kirkel|Rohrbach(Saar)|St Ingbert|Rentrisch|Scheidt(Saar)|Schafbrücke|Saarbrücken Ost|Saarbrücken Hbf|Saarbrücken-Burbach|Burbach Mitte|Luisenthal(Saar)|Völklingen|Bous(Saar)|Ensdorf(Saar)|Saarlouis Hbf|Dillingen(Saar)|Beckingen(Saar)|Fremersdorf|Merzig(Saar)|Merzig(Saar) Stadtmitte|Besseringen|Mettlach|Saarhölzbach|Taben|Serrig|Saarburg(Bz Trier)|Schoden-Ockfen|Wiltingen(Saar)|Kanzem|Konz|Karthaus|Trier Süd;RB;12590;71;2024-11-21 00:02:00;2024-11-21 00:01:00;;;-1;DB Regio AG;RB71;46
-2285671327041193985-2411202333-7;Trier Hbf;8000134;Luxembourg;Luxembourg|Sandweiler-Contern|Wasserbillig|Igel|Kreuz Konz|Trier Süd;RE;5141;11;2024-11-21 00:24:00;2024-11-21 00:25:00;;;1;DB Regio AG;RE11;46
980228415031503884-2411202225-31;Trier Hbf;8000134;Koblenz Hbf;Koblenz Hbf|Koblenz-Moselweiß|Koblenz-Güls|Winningen(Mosel)|Kobern-Gondorf|Lehmen|Kattenes|Löf|Hatzenport|Moselkern|Müden(Mosel)|Treis-Karden|Pommern(Mosel)|Klotten|Cochem(Mosel)|Ediger-Eller|Neef|Bullay(DB)|Bengel|Ürzig(DB)|Wittlich Hbf|Salmtal|Sehlem(Kr Wittlich)|Hetzerath|Föhren|Schweich(DB)|Quint|Ehrang Ort|Ehrang|Pfalzel;RB;12132;81;2024-11-21 00:19:00;2024-11-21 00:27:00;;;8;DB Regio AG;RB81;46
786129964763538741-2411112228-22;Mainz Hbf;8000240;Offenbach(Main)Ost;Offenbach(Main)Ost|Offenbach(Main) Marktplatz|Offenbach(Main) Ledermuseum|Offenbach(Main) Kaiserlei|Frankfurt(M)Mühlberg|Frankfurt(M)Ostendstraße|Frankfurt(M)Konstablerwache|Frankfurt(M)Hauptwache|Frankfurt(M)Taunusanlage|Frankfurt Hbf (tief)|Frankfurt-Niederrad|Frankfurt am Main - Stadion|Frankfurt(Main)-Gateway Gardens|Frankfurt(M) Flughafen Regionalbf|Kelsterbach|Raunheim|Rüsselsheim|Rüsselsheim Opelwerk|Mainz-Bischofsheim|Mainz-Gustavsburg|Mainz Römisches Theater;S;35876;8;2024-11-11 23:26:00;2024-11-11 23:34:00;;;8;DB Regio AG;S8;45
-2747435270774906120-2411112256-5;Mainz Hbf;8000240;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Frankfurt(M) Flughafen Regionalbf|Rüsselsheim|Mainz-Bischofsheim;RB;29588;33;2024-11-11 23:33:00;2024-11-11 23:43:00;;;10;DB Regio AG;RB33;45
-9216864287469065670-2411131223-4;Wiesbaden Hbf;8000250;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Frankfurt-Höchst|Mainz-Kastel;VIA;25088;RB10;2024-11-13 12:58:00;2024-11-13 13:03:00;;;5;VIAS GmbH;RB10;45
-6612588602948453145-2411170806-17;Frankfurt(Main)Hbf;8000105;Erbach(Odenw);Erbach(Odenw)|Erbach(Odenw) Nord|Michelstadt|Bad König Zell|Bad König|Höchst Mümling-Grumbach|Höchst(Odenw)|Höchst Hetschbach|Groß-Umstadt Wiebelsbach|Otzberg Lengfeld|Reinheim(Odenw)|Ober Ramstadt|Mühltal|Darmstadt TU-Lichtwiese|Darmstadt Ost|Darmstadt Nord;VIA;25164;RB82;2024-11-17 09:32:00;2024-11-17 09:42:00;;;10;VIAS GmbH;RB82;46
-2611590048627043441-2411131158-32;Wiesbaden Hbf;8000250;Rödermark-Ober Roden;Rödermark-Ober Roden|Rodgau-Rollwald|Rodgau-Nieder Roden|Rodgau-Dudenhofen|Rodgau-Jügesheim|Rodgau-Hainhausen|Rodgau-Weiskirchen|Obertshausen(Kr Of)|Offenbach-Waldhof|Offenbach-Bieber|Offenbach(Main)Ost|Offenbach(Main) Marktplatz|Offenbach(Main) Ledermuseum|Offenbach(Main) Kaiserlei|Frankfurt(M)Mühlberg|Frankfurt(M)Ostendstraße|Frankfurt(M)Konstablerwache|Frankfurt(M)Hauptwache|Frankfurt(M)Taunusanlage|Frankfurt Hbf (tief)|Frankfurt-Griesheim|Frankfurt-Nied|Frankfurt-Höchst|Frankfurt-Höchst Farbwerke|Frankfurt-Sindlingen|Hattersheim(Main)|Eddersheim|Flörsheim(Main)|Hochheim(Main)|Mainz-Kastel|Wiesbaden Ost;S;35134;1;2024-11-13 13:23:00;2024-11-13 13:25:00;;;2;DB Regio AG;S1;45
-7670964421205189474-2411170602-9;Frankfurt(Main)Hbf;8000105;Münster(Westf)Hbf;Münster(Westf)Hbf|Dortmund Hbf|Bochum Hbf|Essen Hbf|Duisburg Hbf|Düsseldorf Hbf|Köln Hbf|Frankfurt(M) Flughafen Fernbf;ICE;1903;;2024-11-17 09:04:00;2024-11-17 09:04:00;;;0;DB Fernverkehr AG;Münster(Westf)Hbf-Frankfurt(Main)Hbf;46
7388983241012288387-2411180608-14;Mannheim Hbf;8000244;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Langen(Hess)|Darmstadt Hbf|Darmstadt Süd|Bickenbach(Bergstr)|Zwingenberg(Bergstr)|Bensheim|Heppenheim(Bergstr)|Hemsbach|Weinheim(Bergstr)Hbf|Heddesheim/Hirschberg|Ladenburg|Neu-Edingen/Friedrichsfeld;RE;15305;60;2024-11-18 07:23:00;2024-11-18 07:32:00;;;9;DB Regio AG;RE60;46
-3613612237447745656-2410311915-31;Trier Hbf;8000134;Oberlahnstein;Oberlahnstein|Niederlahnstein|Koblenz Hbf|Koblenz-Moselweiß|Koblenz-Güls|Winningen(Mosel)|Kobern-Gondorf|Lehmen|Kattenes|Löf|Hatzenport|Moselkern|Müden(Mosel)|Treis-Karden|Pommern(Mosel)|Klotten|Cochem(Mosel)|Ediger-Eller|Neef|Bullay(DB)|Bengel|Ürzig(DB)|Wittlich Hbf|Salmtal|Sehlem(Kr Wittlich)|Hetzerath|Föhren|Schweich(DB)|Quint|Ehrang Ort;RB;12126;81;2024-10-31 21:19:00;2024-10-31 21:54:00;;;35;DB Regio AG;RB81;43
5760455312837249453-2411131158-25;Wiesbaden Hbf;8000250;Offenbach(Main)Ost;Offenbach(Main)Ost|Offenbach(Main) Marktplatz|Offenbach(Main) Ledermuseum|Offenbach(Main) Kaiserlei|Frankfurt(M)Mühlberg|Frankfurt(M)Ostendstraße|Frankfurt(M)Konstablerwache|Frankfurt(M)Hauptwache|Frankfurt(M)Taunusanlage|Frankfurt Hbf (tief)|Frankfurt-Niederrad|Frankfurt am Main - Stadion|Frankfurt(Main)-Gateway Gardens|Frankfurt(M) Flughafen Regionalbf|Kelsterbach|Raunheim|Rüsselsheim|Rüsselsheim Opelwerk|Mainz-Bischofsheim|Mainz-Gustavsburg|Mainz Römisches Theater|Mainz Hbf|Mainz Nord|Wiesbaden Ost;S;35834;8;2024-11-13 13:14:00;2024-11-13 13:16:00;;;2;DB Regio AG;S8;45
-570521634062866389-2411010812-2;Mainz Hbf;8000240;Wiesbaden Hbf;Wiesbaden Hbf;S;38609;6;2024-11-01 08:22:00;2024-11-01 08:22:00;;;0;DB Regio AG;S6;43
-5921742979997781539-2411010808-7;Mainz Hbf;8000240;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Frankfurt-Niederrad|Frankfurt(M) Flughafen Regionalbf|Rüsselsheim|Mainz-Bischofsheim|Mainz Römisches Theater;RE;29510;3;2024-11-01 08:49:00;2024-11-01 08:50:00;;;1;DB Regio AG;RE3;43
4250821308365947570-2411010528-7;Mainz Hbf;8000240;Nürnberg Hbf;Nürnberg Hbf|Würzburg Hbf|Aschaffenburg Hbf|Hanau Hbf|Frankfurt(Main)Hbf|Frankfurt(M) Flughafen Fernbf;ICE;1022;;2024-11-01 08:18:00;2024-11-01 08:19:00;;;1;DB Fernverkehr AG;Nürnberg Hbf-Mainz Hbf;43
2668079515497796984-2411131206-3;Wiesbaden Hbf;8000250;Düsseldorf Hbf;Düsseldorf Hbf|Köln Messe/Deutz Gl.11-12;ICE;107;;2024-11-13 13:20:00;2024-11-13 13:29:00;;;9;DB Fernverkehr AG;Düsseldorf Hbf-Wiesbaden Hbf;45
-1048510302242958952-2411010749-13;Mainz Hbf;8000240;Mannheim Hbf;Mannheim Hbf|Ludwigshafen(Rhein) Mitte|Ludwigshafen(Rh)Hbf|Frankenthal Süd|Frankenthal Hbf|Worms Hbf|Osthofen|Guntersblum|Oppenheim|Nierstein|Bodenheim|Mainz Römisches Theater;N;12208;SE14;2024-11-01 08:48:00;2024-11-01 08:58:00;;;10;DB Regio AG;SE14;43
