timetableStop_id;station;eva;start;plannedArrivalPath;trainCategory;trainNumber;arrivingLine;plannedArrival;changedArrivalTime;cancellationTime;eventStatus;arrival_delay;operator;Verbindung;week_number
1756361144776443390-2411041916-9;Frankfurt(Main)Hbf;8000105;Berlin Gesundbrunnen;Berlin Gesundbrunnen|Berlin Hbf|Berlin Südkreuz|Lutherstadt Wittenberg Hbf|Leipzig Hbf|Erfurt Hbf|Eisenach|Fulda;ICE;675;;2024-11-04 23:44:00;2024-11-04 23:44:00;;;0;DB Fernverkehr AG;Berlin Gesundbrunnen-Frankfurt(Main)Hbf;44
4845313366765401542-2411010637-16;Frankfurt(Main)Hbf;8000105;Gemünden(Main);Gemünden(Main)|Langenprozelten|Lohr Bahnhof|Partenstein|Wiesthal|Heigenbrücken|Laufach|Hösbach|Aschaffenburg Hbf|Kleinostheim|Dettingen(Main)|Kahl(Main)|Hanau Hbf|Offenbach(Main)Hbf|Frankfurt(Main)Süd;RE;4642;55;2024-11-01 07:57:00;2024-11-01 08:02:00;;;5;DB Regio AG;RE55;43
-1998685101828923679-2411010549-16;Frankfurt(Main)Hbf;8000105;Mannheim Hbf;Mannheim Hbf|Ludwigshafen(Rhein) Mitte|Ludwigshafen(Rh)Hbf|Frankenthal Süd|Frankenthal Hbf|Worms Hbf|Osthofen|Guntersblum|Oppenheim|Nierstein|Bodenheim|Mainz Römisches Theater|Mainz Hbf|Hochheim(Main)|Frankfurt-Höchst;N;12204;SE14;2024-11-01 07:22:00;2024-11-01 07:41:00;;;19;DB Regio AG;SE14;43
4250821308365947570-2411010528-5;Frankfurt(Main)Hbf;8000105;Nürnberg Hbf;Nürnberg Hbf|Würzburg Hbf|Aschaffenburg Hbf|Hanau Hbf;ICE;1022;;2024-11-01 07:36:00;2024-11-01 07:38:00;;;2;DB Fernverkehr AG;Nürnberg Hbf-Frankfurt(Main)Hbf;43
-6038863164330753428-2411010631-14;Frankfurt(Main)Hbf;8000105;Mannheim Hbf;Mannheim Hbf|Neu-Edingen/Friedrichsfeld|Ladenburg|Heddesheim/Hirschberg|Weinheim(Bergstr)Hbf|Hemsbach|Heppenheim(Bergstr)|Bensheim|Zwingenberg(Bergstr)|Bickenbach(Bergstr)|Darmstadt Süd|Darmstadt Hbf|Langen(Hess);RE;15304;60;2024-11-01 07:51:00;2024-11-01 08:03:00;;;12;DB Regio AG;RE60;43
8956249040698760833-2411010600-6;Frankfurt(Main)Hbf;8000105;Köln Hbf;Köln Hbf|Siegburg/Bonn|Montabaur|Limburg Süd|Frankfurt(M) Flughafen Fernbf;ICE;811;;2024-11-01 07:23:00;2024-11-01 07:26:00;;;3;DB Fernverkehr AG;Köln Hbf-Frankfurt(Main)Hbf;43
-8244790564162753872-2411020600-3;Frankfurt(Main)Hbf;8000105;Karlsruhe Hbf;Karlsruhe Hbf|Mannheim Hbf;ICE;270;;2024-11-02 07:52:00;2024-11-02 08:13:00;;;21;DB Fernverkehr AG;Karlsruhe Hbf-Frankfurt(Main)Hbf;43
8149147754402883805-2411020420-18;Frankfurt(Main)Hbf;8000105;Saarbrücken Hbf;Saarbrücken Hbf|Neunkirchen(Saar)Hbf|Ottweiler(Saar)|St Wendel|Türkismühle|Neubrücke(Nahe)|Idar-Oberstein|Kirn|Bad Sobernheim|Staudernheim|Bad Münster a Stein|Bad Kreuznach|Gensingen-Horrweiler|Ingelheim|Mainz Hbf|Rüsselsheim|Frankfurt(M) Flughafen Regionalbf;RE;29503;3;2024-11-02 07:36:00;2024-11-02 07:39:00;;;3;DB Regio AG;RE3;43
-1998685101828923679-2411020549-16;Frankfurt(Main)Hbf;8000105;Mannheim Hbf;Mannheim Hbf|Ludwigshafen(Rhein) Mitte|Ludwigshafen(Rh)Hbf|Frankenthal Süd|Frankenthal Hbf|Worms Hbf|Osthofen|Guntersblum|Oppenheim|Nierstein|Bodenheim|Mainz Römisches Theater|Mainz Hbf|Hochheim(Main)|Frankfurt-Höchst;N;12204;SE14;2024-11-02 07:22:00;2024-11-02 07:25:00;2024-11-02 06:54:00;c;3;DB Regio AG;SE14;43
-3852086093059689993-2410301107-13;Frankfurt(Main)Hbf;8000105;Fulda;Fulda|Neuhof(Kr Fulda)|Flieden|Schlüchtern|Steinau(Straße)|Bad Soden-Salmünster|Wächtersbach|Gelnhausen|Langenselbold|Hanau Hbf|Offenbach(Main)Hbf|Frankfurt(Main)Süd;RE;4515;50;2024-10-30 12:28:00;2024-10-30 12:30:00;;;2;DB Regio AG;RE50;43
