timetableStop_id;station;eva;target;trainCategory;trainNumber;departingLine;plannedDeparture;changedDepartureTime;cancellationTime;eventStatus;departure_delay;operator;Verbindung;week_number
-7864202457110859694-2411010738-1;Frankfurt(Main)Hbf;8000105;Mannheim Hbf;N;12207;SE14;2024-11-01 07:38:00;2024-11-01 07:52:00;;;14;DB Regio AG;SE14;43
-7860954356531600043-2411010745-1;Frankfurt(Main)Hbf;8000105;Dillenburg;HLB;15104;RB40;2024-11-01 07:45:00;2024-11-01 07:52:00;;;7;Hessische Landesbahn;RB40;43
-8244790564162753872-2411020600-3;Frankfurt(Main)Hbf;8000105;Kiel Hbf;ICE;270;;2024-11-02 07:58:00;2024-11-02 08:20:00;;;22;DB Fernverkehr AG;Frankfurt(Main)Hbf-Kiel Hbf;43
7223060809784688965-2410271304-13;Frankfurt(Main)Hbf;8000105;Nürnberg Hbf;ICE;1021;;2024-10-27 22:48:00;2024-10-27 23:06:00;;;18;DB Fernverkehr AG;Frankfurt(Main)Hbf-Nürnberg Hbf;43
6343017689412336885-2410261718-1;Frankfurt(Main)Hbf;8000105;Dresden Hbf;ICE;1655;;2024-10-26 17:18:00;2024-10-26 17:27:00;;;9;DB Fernverkehr AG;Frankfurt(Main)Hbf-Dresden Hbf;42
6170002538724052342-2410261413-7;Frankfurt(Main)Hbf;8000105;Hamburg Hbf;ICE;276;;2024-10-26 17:58:00;2024-10-26 18:31:00;;;33;DB Fernverkehr AG;Frankfurt(Main)Hbf-Hamburg Hbf;42
6013213540626996483-2410261552-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;725;;2024-10-26 17:53:00;2024-10-26 18:10:00;;;17;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;42
9120432599921369422-2410261523-4;Frankfurt(Main)Hbf;8000105;Berlin Ostbahnhof;ICE;574;;2024-10-26 17:14:00;2024-10-26 17:21:00;;;7;DB Fernverkehr AG;Frankfurt(Main)Hbf-Berlin Ostbahnhof;42
-1309662995930200381-2410261701-1;Frankfurt(Main)Hbf;8000105;Bremen Hbf;ICE;776;;2024-10-26 17:01:00;2024-10-26 17:37:00;;;36;DB Fernverkehr AG;Frankfurt(Main)Hbf-Bremen Hbf;42
2218943744552257469-2411021414-1;Frankfurt(Main)Hbf;8000105;Bruxelles Midi;ICE;14;;2024-11-02 14:14:00;2024-11-02 14:28:00;;;14;DB Fernverkehr AG;Frankfurt(Main)Hbf-Bruxelles Midi;43
8603241313343587137-2411041417-11;Frankfurt(Main)Hbf;8000105;Stuttgart Hbf;ICE;771;;2024-11-04 18:52:00;2024-11-04 19:09:00;;;17;DB Fernverkehr AG;Frankfurt(Main)Hbf-Stuttgart Hbf;44
-6341401029022658133-2411041653-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;727;;2024-11-04 18:53:00;2024-11-04 20:04:00;;;71;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;44
-2142784246140329213-2411041447-5;Frankfurt(Main)Hbf;8000105;Dortmund Hbf;ICE;622;;2024-11-04 18:09:00;2024-11-04 18:20:00;;;11;DB Fernverkehr AG;Frankfurt(Main)Hbf-Dortmund Hbf;44
5725035179708558025-2411091415-6;Frankfurt(Main)Hbf;8000105;Basel SBB;ICE;375;;2024-11-09 18:06:00;2024-11-09 18:53:00;;;47;DB Fernverkehr AG;Frankfurt(Main)Hbf-Basel SBB;44
5042424630356113204-2411071247-5;Frankfurt(Main)Hbf;8000105;Dortmund Hbf;ICE;626;;2024-11-07 16:09:00;2024-11-07 16:35:00;;;26;DB Fernverkehr AG;Frankfurt(Main)Hbf-Dortmund Hbf;44
-5554818289511663551-2411071642-1;Frankfurt(Main)Hbf;8000105;Wächtersbach;RB;15524;51;2024-11-07 16:42:00;2024-11-07 16:51:00;;;9;DB Regio AG;RB51;44
7977457354840338708-2411071625-1;Frankfurt(Main)Hbf;8000105;Koblenz Hbf;RE;29542;2;2024-11-07 16:25:00;2024-11-07 16:34:00;;;9;DB Regio AG;RE2;44
1920517887960801655-2410311234-8;Frankfurt(Main)Hbf;8000105;Dortmund Hbf;ICE;26;;2024-10-31 17:42:00;2024-10-31 18:53:00;;;71;DB Fernverkehr AG;Frankfurt(Main)Hbf-Dortmund Hbf;43
6013213540626996483-2410311552-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;725;;2024-10-31 17:53:00;2024-10-31 18:43:00;;;50;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;43
-4521437519262178170-2410311351-5;Frankfurt(Main)Hbf;8000105;Dortmund Hbf;ICE;624;;2024-10-31 17:09:00;2024-10-31 17:29:00;;;20;DB Fernverkehr AG;Frankfurt(Main)Hbf-Dortmund Hbf;43
-1309662995930200381-2410311701-1;Frankfurt(Main)Hbf;8000105;Oldenburg(Oldb)Hbf;ICE;776;;2024-10-31 17:01:00;2024-10-31 17:23:00;;;22;DB Fernverkehr AG;Frankfurt(Main)Hbf-Oldenburg(Oldb)Hbf;43
-7906017824379584014-2411040951-5;Frankfurt(Main)Hbf;8000105;Essen Hbf;ICE;722;;2024-11-04 13:09:00;2024-11-04 13:32:00;;;23;DB Fernverkehr AG;Frankfurt(Main)Hbf-Essen Hbf;44
-3823028807335198664-2411040915-9;Frankfurt(Main)Hbf;8000105;Zürich HB;ICE;75;;2024-11-04 13:52:00;2024-11-04 14:05:00;;;13;DB Fernverkehr AG;Frankfurt(Main)Hbf-Zürich HB;44
-8941932149309778658-2411031723-4;Frankfurt(Main)Hbf;8000105;Berlin Ostbahnhof;ICE;572;;2024-11-03 19:14:00;2024-11-03 19:27:00;;;13;DB Fernverkehr AG;Frankfurt(Main)Hbf-Berlin Ostbahnhof;44
5386957962159428875-2410271842-1;Frankfurt(Main)Hbf;8000105;Wächtersbach;RB;15528;51;2024-10-27 18:42:00;2024-10-27 18:51:00;;;9;DB Regio AG;RB51;43
5725035179708558025-2410271415-6;Frankfurt(Main)Hbf;8000105;Basel SBB;ICE;375;;2024-10-27 18:06:00;2024-10-27 18:18:00;;;12;DB Fernverkehr AG;Frankfurt(Main)Hbf-Basel SBB;43
-1497213994658544450-2411011136-13;Frankfurt(Main)Hbf;8000105;Passau Hbf;ICE;927;;2024-11-01 19:12:00;2024-11-01 19:31:00;;;19;DB Fernverkehr AG;Frankfurt(Main)Hbf-Passau Hbf;43
-6341401029022658133-2411021653-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;727;;2024-11-02 18:53:00;2024-11-02 19:23:00;;;30;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;43
377916917112555014-2411021854-1;Frankfurt(Main)Hbf;8000105;Hamburg-Altona;ICE;1904;;2024-11-02 18:54:00;2024-11-02 19:06:00;;;12;DB Fernverkehr AG;Frankfurt(Main)Hbf-Hamburg-Altona;43
1140779865956290650-2411021446-8;Frankfurt(Main)Hbf;8000105;Hamburg Hbf;ICE;594;;2024-11-02 18:57:00;2024-11-02 19:05:00;;;8;DB Fernverkehr AG;Frankfurt(Main)Hbf-Hamburg Hbf;43
416846057463089715-2410311325-1;Frankfurt(Main)Hbf;8000105;Erbach(Odenw);VIA;25171;RB82;2024-10-31 13:25:00;2024-10-31 13:47:00;;;22;VIAS GmbH;RB82;43
-2843829057041584062-2410311123-4;Frankfurt(Main)Hbf;8000105;Berlin Ostbahnhof;ICE;578;;2024-10-31 13:14:00;2024-10-31 13:21:00;;;7;DB Fernverkehr AG;Frankfurt(Main)Hbf-Berlin Ostbahnhof;43
5318588127399277552-2411011525-1;Frankfurt(Main)Hbf;8000105;Koblenz Hbf;VIA;25074;RB10;2024-11-01 15:25:00;2024-11-01 15:52:00;;;27;VIAS GmbH;RB10;43
-981870580973872963-2411011519-1;Frankfurt(Main)Hbf;8000105;Kassel Hbf;RE;4160;30;2024-11-01 15:19:00;2024-11-01 15:30:00;;;11;DB Regio AG;RE30;43
333620029166382799-2411011134-7;Frankfurt(Main)Hbf;8000105;Dortmund Hbf;ICE;28;;2024-11-01 15:42:00;2024-11-01 15:48:00;;;6;DB Fernverkehr AG;Frankfurt(Main)Hbf-Dortmund Hbf;43
6857733995447485164-2411011115-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;599;;2024-11-01 15:05:00;2024-11-01 15:12:00;2024-11-01 08:55:00;p;7;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;43
2166766372375246604-2411061142-1;Frankfurt(Main)Hbf;8000105;Wächtersbach;RB;15514;51;2024-11-06 11:42:00;2024-11-06 12:22:00;;;40;DB Regio AG;RB51;44
-1949569066339017119-2411071951-1;Frankfurt(Main)Hbf;8000105;Dillenburg;HLB;15128;RB40;2024-11-07 19:51:00;2024-11-07 20:00:00;;;9;Hessische Landesbahn;RB40;44
5360680897387999548-2411071938-1;Frankfurt(Main)Hbf;8000105;Mannheim Hbf;N;12771;SE14;2024-11-07 19:38:00;2024-11-07 19:46:00;2024-11-07 19:35:00;c;8;DB Regio AG;SE14;44
-7908451041935798366-2411071919-1;Frankfurt(Main)Hbf;8000105;Kassel Hbf;RE;4164;30;2024-11-07 19:19:00;2024-11-07 20:39:00;;;80;DB Regio AG;RE30;44
2999842467467260619-2411071951-1;Frankfurt(Main)Hbf;8000105;Kirchhain(Bz Kassel);HLB;15028;RB41;2024-11-07 19:51:00;2024-11-07 20:00:00;;;9;Hessische Landesbahn;RB41;44
1791883083664622546-2411071909-1;Frankfurt(Main)Hbf;8000105;Glauburg-Stockheim;RB;15740;34;2024-11-07 19:09:00;2024-11-07 19:41:00;;;32;DB Regio AG;RB34;44
8983673647294408675-2411080840-14;Frankfurt(Main)Hbf;8000105;Hamburg Hbf;ICE;1218;;2024-11-08 14:57:00;2024-11-08 15:05:00;;;8;DB Fernverkehr AG;Frankfurt(Main)Hbf-Hamburg Hbf;44
413357441896392149-2411081116-9;Frankfurt(Main)Hbf;8000105;Zürich HB;ICE;77;;2024-11-08 15:52:00;2024-11-08 16:37:00;;;45;DB Fernverkehr AG;Frankfurt(Main)Hbf-Zürich HB;44
-5756361082989769349-2411081542-1;Frankfurt(Main)Hbf;8000105;Wächtersbach;RB;15550;51;2024-11-08 15:42:00;2024-11-08 15:59:00;;;17;DB Regio AG;RB51;44
8892055085147443408-2411081525-1;Frankfurt(Main)Hbf;8000105;Erbach(Odenw);VIA;25175;RB82;2024-11-08 15:25:00;2024-11-08 15:40:00;;;15;VIAS GmbH;RB82;44
6857733995447485164-2411081115-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;599;;2024-11-08 15:05:00;2024-11-08 15:13:00;;;8;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;44
-7455087584675999219-2410310420-3;Frankfurt(Main)Hbf;8000105;Nürnberg Hbf;ICE;521;;2024-10-31 07:03:00;2024-10-31 07:47:00;;;44;DB Fernverkehr AG;Frankfurt(Main)Hbf-Nürnberg Hbf;43
-2747435270774906120-2410302256-1;Frankfurt(Main)Hbf;8000105;Mainz Hbf;RB;29588;33;2024-10-30 22:56:00;2024-10-30 23:30:00;;;34;DB Regio AG;RB33;43
-8147699513644188353-2410301817-6;Frankfurt(Main)Hbf;8000105;Karlsruhe Hbf;ICE;877;;2024-10-30 22:06:00;2024-10-30 22:19:00;;;13;DB Fernverkehr AG;Frankfurt(Main)Hbf-Karlsruhe Hbf;43
2312296716933966404-2410301554-9;Frankfurt(Main)Hbf;8000105;Nürnberg Hbf;ICE;1021;;2024-10-30 22:48:00;2024-10-30 22:59:00;;;11;DB Fernverkehr AG;Frankfurt(Main)Hbf-Nürnberg Hbf;43
-8282022089277429714-2411010938-1;Frankfurt(Main)Hbf;8000105;Babenhausen(Hess);VIA;25323;RE85;2024-11-01 09:38:00;2024-11-01 09:47:00;;;9;VIAS GmbH;RE85;43
-7306060287928860392-2411070915-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;597;;2024-11-07 13:05:00;2024-11-07 13:23:00;;;18;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;44
5475545787198091829-2411062108-1;Frankfurt(Main)Hbf;8000105;Koblenz Hbf;RE;4266;2;2024-11-06 21:08:00;2024-11-06 21:37:00;;;29;DB Regio AG;RE2;44
-4930005745220627540-2411061634-8;Frankfurt(Main)Hbf;8000105;Dortmund Hbf;ICE;22;;2024-11-06 21:44:00;2024-11-06 22:07:00;;;23;DB Fernverkehr AG;Frankfurt(Main)Hbf-Dortmund Hbf;44
3736117015423388331-2411061751-5;Frankfurt(Main)Hbf;8000105;Dortmund Hbf;ICE;526;;2024-11-06 21:09:00;2024-11-06 21:40:00;;;31;DB Fernverkehr AG;Frankfurt(Main)Hbf-Dortmund Hbf;44
728614492332009381-2411062118-1;Frankfurt(Main)Hbf;8000105;Erfurt Hbf;ICE;1659;;2024-11-06 21:18:00;2024-11-06 21:24:00;;;6;DB Fernverkehr AG;Frankfurt(Main)Hbf-Erfurt Hbf;44
